loop_num,pred_intervals,input_size,MAPE,MAE,run_time,,,,,,,
86,5,space16*time8,5.049163845,14.70843277,700.3555124,,,,,,,
86,10,space36*time4,6.232780078,17.7010179,704.6042898,,,,,,,
86,15,space64*time4,7.273474575,19.9779436,1227.152916,,,,,,,
86,20,space56*time28,7.797803268,22.16065384,1822.3253,,,,,,,
87,5,space16*time8,4.912867897,14.05575239,842.860498,,,,,,,
87,10,space36*time4,6.177841897,17.61415275,911.3593655,,,,,,,
87,15,space60*time12,7.256867203,20.2538797,1248.976337,,,,,,,
87,20,space32*time16,7.955529073,22.64116681,1109.777096,,,,,,,
88,5,space16*time16,9.014160228,8.676558281,758.6036067,,,,,,,
88,10,space28*time4,10.25579541,10.16646146,749.8923616,,,,,,,
88,15,space60*time4,11.07194653,10.95084015,1342.0446,,,,,,,
88,20,space48*time16,11.71431743,11.59457341,1512.191871,,,,,,,
89,5,space16*time8,5.671860565,17.58698682,837.6004083,,,,,,,
89,10,space48*time4,6.451272784,19.42891675,1315.628899,,,,,,,
89,15,space4*time40,6.898202653,22.37444699,2008.888496,,,,,,,
89,20,space24*time16,7.564968889,23.64024284,1537.951783,,,,,,,
90,5,space24*time8,6.711856487,14.77385543,1170.600396,,,,,,,
90,10,space40*time20,7.220735639,16.03330355,1692.415551,,,,,,,
90,15,space44*time4,8.263989051,17.92200632,1513.800874,,,,,,,
90,20,space48*time40,8.038848162,18.49058007,2621.791504,,,,,,,
91,5,space16*time20,6.227244807,14.90934827,1372.505931,,,,,,,
91,10,space32*time16,7.150841991,17.01094423,1842.208823,,,,,,,
91,15,space24*time16,7.978930726,19.43462674,1787.252357,,,,,,,
91,20,space16*time28,8.027707437,19.75964991,1968.228904,,,,,,,
92,5,space16*time8,6.339319246,15.32224776,1445.910544,,,,,,,
92,10,space32*time20,7.426454759,17.68198299,2248.613181,,,,,,,
92,15,space44*time12,7.964154098,18.79139295,2459.375926,,,,,,,
92,20,space48*time40,7.848317821,19.55615839,4780.936451,,,,,,,
93,5,space20*time20,6.606394719,11.63081249,2939.30663,,,,,,,
93,10,space24*time4,7.934522526,13.76971031,2652.299748,,,,,,,
93,15,space44*time20,7.962968779,14.06411045,4411.121572,,,,,,,
93,20,space40*time20,8.472167482,14.90393193,4825.632435,,106,5,space44*time4,6.598338537,18.69565165,3731.54257
,,,,,,,106,10,space40*time16,7.621955088,21.80510153,3714.3896
,,,,,,,106,15,space48*time12,8.275806616,23.18695269,3230.089264
,,,,,,,106,20,space48*time24,8.346075175,23.65589145,1913.071015
,,,,,,,105,5,space32*time4,6.850818051,19.33985585,1614.687855
,,,,,,,105,10,space36*time16,7.8020792,22.21795703,1903.087213
,,,,,,,105,15,space56*time12,8.682927131,24.55174104,2453.481368
,,,,,,,105,20,space12*time16,9.633870768,27.63763044,1815.677792
,,,,,,,104,5,space28*time4,6.358368053,12.86175976,1933.062161
,,,,,,,104,10,space36*time4,8.2861639,16.65313021,2202.278042
,,,,,,,104,15,space52*time12,9.17555791,18.74280003,3150.513029
,,,,,,,104,20,space52*time12,9.354894548,19.32673401,3724.887146
,,,,,,,103,5,space32*time4,6.335142579,13.1338993,2536.594672
,,,,,,,103,10,space40*time16,8.215102181,17.2454286,3167.41223
,,,,,,,103,15,space32*time12,9.346450001,19.21462858,3552.045241
,,,,,,,103,20,space40*time16,9.661174038,20.63053926,4169.467463
