pred_interval,space_time,MAPE,MAE
5,space4*time4,9.035,20.397
5,space4*time8,8.389,19.941
5,space4*time12,8.202,19.412
5,space4*time16,8.07,19.167
5,space4*time20,8.227,19.444
5,space4*time24,8.021,19.464
5,space4*time28,8.442,19.959
5,space4*time32,7.703,18.738
5,space4*time36,7.968,19.528
5,space4*time40,7.94,19.106
5,space8*time4,7.888,18.295
5,space8*time8,7.489,17.77
5,space8*time12,7.557,17.677
5,space8*time16,7.591,17.979
5,space8*time20,7.58,17.777
5,space8*time24,7.365,17.765
5,space8*time28,7.369,17.355
5,space8*time32,7.088,17.533
5,space8*time36,7.306,17.709
5,space8*time40,7.491,17.558
5,space12*time4,6.637,15.271
5,space12*time8,6.261,14.908
5,space12*time12,6.122,14.357
5,space12*time16,6.126,14.706
5,space12*time20,6.391,14.908
5,space12*time24,6.17,14.77
5,space12*time28,6.419,15.128
5,space12*time32,6.386,15.768
5,space12*time36,6.462,15.738
5,space12*time40,6.441,15.12
5,space16*time4,6.016,13.706
5,space16*time8,5.761,13.836
5,space16*time12,5.823,13.952
5,space16*time16,5.683,13.526
5,space16*time20,6.136,14.566
5,space16*time24,5.74,13.716
5,space16*time28,6.002,14.113
5,space16*time32,5.711,13.694
5,space16*time36,5.951,14.494
5,space16*time40,6.179,14.445
5,space20*time4,5.871,13.685
5,space20*time8,5.764,14.027
5,space20*time12,5.735,13.51
5,space20*time16,5.684,13.434
5,space20*time20,6.198,14.203
5,space20*time24,5.622,13.527
5,space20*time28,5.907,13.928
5,space20*time32,5.663,13.871
5,space20*time36,6.094,14.754
5,space20*time40,5.976,14.097
5,space24*time4,5.808,13.645
5,space24*time8,5.648,13.651
5,space24*time12,5.806,13.744
5,space24*time16,5.666,13.483
5,space24*time20,6.094,14.083
5,space24*time24,5.8,14.068
5,space24*time28,6.118,14.121
5,space24*time32,5.711,14.06
5,space24*time36,5.987,14.403
5,space24*time40,6.008,14.282
5,space28*time4,5.812,13.449
5,space28*time8,5.628,13.592
5,space28*time12,5.748,13.607
5,space28*time16,6.086,14.164
5,space28*time20,6.029,14.199
5,space28*time24,5.818,14.061
5,space28*time28,6.125,14.093
5,space28*time32,5.688,13.591
5,space28*time36,5.988,14.627
5,space28*time40,6.161,14.55
5,space32*time4,5.842,13.934
5,space32*time8,5.731,13.854
5,space32*time12,5.916,14.026
5,space32*time16,5.857,13.806
5,space32*time20,6.2,14.897
5,space32*time24,6.014,14.52
5,space32*time28,6.35,14.508
5,space32*time32,6.172,15.047
5,space32*time36,5.927,14.488
5,space32*time40,6.181,14.672
5,space36*time4,5.985,14.013
5,space36*time8,5.789,14.087
5,space36*time12,5.781,13.77
5,space36*time16,5.913,13.989
5,space36*time20,6.372,16.097
5,space36*time24,5.984,14.806
5,space36*time28,6.417,14.844
5,space36*time32,5.885,14.247
5,space36*time36,6.052,14.702
5,space36*time40,6.239,14.846
5,space40*time4,5.884,13.911
5,space40*time8,5.766,14.112
5,space40*time12,5.919,14.092
5,space40*time16,6.047,14.418
5,space40*time20,6.371,14.797
5,space40*time24,6,14.459
5,space40*time28,6.456,14.809
5,space40*time32,5.945,14.39
5,space40*time36,6.118,15.003
